iter	Passed	Remaining
674	29904	14398
675	29955	14357
676	30011	14318
677	30065	14279
678	30099	14229
679	30147	14187
680	30176	14135
681	30212	14087
682	30238	14034
683	30275	13987
684	30308	13937
685	30357	13895
686	30409	13854
687	30457	13812
688	30486	13761
689	30534	13718
690	30576	13673
691	30614	13626
692	30648	13577
693	30701	13537
694	30738	13489
695	30774	13441
696	30812	13394
697	30862	13353
698	30906	13308
699	30948	13263
700	30984	13216
701	31017	13167
702	31052	13119
703	31071	13064
704	31096	13011
705	31150	12972
706	31184	12923
707	31229	12880
708	31245	12824
709	31273	12773
710	31311	12727
711	31341	12677
712	31393	12636
713	31424	12587
714	31459	12539
715	31490	12490
716	31518	12440
717	31537	12386
718	31599	12349
719	31619	12296
720	31659	12250
721	31702	12206
722	31762	12169
723	31800	12122
724	31859	12084
725	31889	12035
726	31932	11991
727	31994	11954
728	32049	11914
729	32085	11867
730	32131	11823
731	32157	11773
732	32229	11739
733	32266	11693
734	32313	11650
735	32348	11603
736	32388	11557
737	32438	11516
738	32475	11469
739	32512	11423
740	32551	11377
741	32583	11329
742	32616	11281
743	32659	11237
744	32709	11195
745	32740	11147
746	32771	11099
747	32806	11052
748	32856	11010
749	32893	10964
750	32932	10919
751	32965	10871
752	32994	10822
753	33027	10775
754	33066	10730
755	33108	10685
756	33167	10646
757	33214	10604
758	33242	10555
759	33270	10506
760	33296	10457
761	33323	10408
762	33347	10358
763	33383	10312
764	33412	10264
765	33451	10218
766	33474	10168
767	33520	10126
768	33546	10077
769	33579	10030
770	33628	9988
771	33673	9945
772	33705	9898
773	33734	9850
774	33766	9803
775	33820	9762
776	33850	9715
777	33885	9669
778	33916	9621
779	33951	9575
780	33987	9530
781	34041	9489
782	34091	9448
783	34129	9403
784	34174	9359
785	34223	9317
786	34264	9273
787	34300	9228
788	34342	9184
789	34383	9139
790	34403	9090
791	34425	9040
792	34456	8994
793	34514	8954
794	34572	8914
795	34609	8869
796	34636	8822
797	34681	8779
798	34713	8732
799	34750	8687
800	34784	8641
801	34835	8600
802	34861	8552
803	34886	8504
804	34936	8462
805	34990	8421
806	35025	8376
807	35064	8332
808	35104	8288
809	35129	8240
810	35166	8195
811	35194	8148
812	35229	8103
813	35272	8059
814	35311	8015
815	35347	7970
816	35375	7923
817	35408	7878
818	35434	7831
819	35463	7784
820	35510	7742
821	35573	7703
822	35647	7666
823	35695	7624
824	35729	7579
825	35771	7535
826	35796	7488
827	35837	7444
828	35909	7407
829	35941	7361
830	35982	7317
831	36037	7276
832	36077	7232
833	36112	7187
834	36165	7146
835	36231	7107
836	36274	7064
837	36291	7015
838	36329	6971
839	36358	6925
840	36412	6884
841	36469	6843
842	36565	6810
843	36638	6771
844	36665	6725
845	36701	6680
846	36749	6638
847	36779	6592
848	36797	6544
849	36842	6501
850	36875	6456
851	36926	6414
852	36961	6369
853	37024	6329
854	37044	6282
855	37074	6236
856	37095	6189
857	37142	6147
858	37191	6104
859	37236	6061
860	37285	6019
861	37311	5973
862	37376	5933
863	37407	5888
864	37449	5844
865	37491	5801
866	37524	5756
867	37569	5713
868	37616	5670
869	37654	5626
870	37697	5583
871	37744	5540
872	37800	5499
873	37856	5457
874	37910	5415
875	37957	5373
876	37996	5329
877	38037	5285
878	38065	5239
879	38109	5196
880	38159	5154
881	38200	5110
882	38243	5067
883	38277	5022
884	38313	4978
885	38347	4934
886	38380	4889
887	38413	4844
888	38442	4799
889	38472	4755
890	38498	4709
891	38536	4665
892	38585	4623
893	38612	4578
894	38643	4533
895	38690	4490
896	38731	4447
897	38779	4404
898	38812	4360
899	38833	4314
900	38892	4273
901	38923	4228
902	38964	4185
903	39032	4145
904	39075	4101
905	39108	4057
906	39133	4012
907	39166	3968
908	39195	3923
909	39217	3878
910	39260	3835
911	39282	3790
912	39316	3746
913	39347	3702
914	39379	3658
915	39410	3614
916	39449	3570
917	39512	3529
918	39561	3486
919	39611	3444
920	39652	3401
921	39693	3358
922	39728	3314
923	39748	3269
924	39773	3224
925	39789	3179
926	39814	3135
927	39841	3091
928	39865	3046
929	39893	3002
930	39915	2958
931	39931	2913
932	39951	2868
933	39970	2824
934	39985	2779
935	40004	2735
936	40021	2690
937	40042	2646
938	40064	2602
939	40080	2558
940	40098	2514
941	40118	2470
942	40135	2425
943	40152	2381
944	40167	2337
945	40189	2294
946	40214	2250
947	40232	2206
948	40249	2163
949	40267	2119
950	40283	2075
951	40302	2032
952	40324	1988
953	40342	1945
954	40360	1901
955	40378	1858
956	40393	1814
957	40414	1771
958	40435	1728
959	40475	1686
960	40502	1643
961	40521	1600
962	40548	1557
963	40569	1515
964	40601	1472
965	40630	1430
966	40651	1387
967	40685	1344
968	40709	1302
969	40736	1259
970	40766	1217
971	40796	1175
972	40825	1132
973	40848	1090
974	40870	1047
975	40891	1005
976	40917	963
977	40944	921
978	40967	878
979	40998	836
980	41032	794
981	41055	752
982	41102	710
983	41136	668
984	41166	626
985	41200	585
986	41233	543
987	41273	501
988	41312	459
989	41353	417
990	41384	375
991	41405	333
992	41425	292
993	41449	250
994	41489	208
995	41509	166
996	41529	124
997	41556	83
998	41583	41
999	41604	0
6095	12110
928	156129	11932
929	156175	11755
930	156215	11577
931	156270	11401
932	156303	11224
933	156387	11050
934	156416	10873
935	156463	10698
936	156489	10521
937	156533	10346
938	156558	10170
939	156637	9998
940	156681	9823
941	156746	9651
942	156801	9477
943	156867	9305
944	156901	9131
945	156928	8957
946	156961	8784
947	156989	8611
948	157038	8439
949	157126	8269
950	157156	8097
951	157182	7925
952	157219	7753
953	157322	7585
954	157346	7414
955	157418	7245
956	157444	7074
957	157475	6903
958	157506	6733
959	157553	6564
960	157610	6396
961	157638	6226
962	157726	6060
963	157755	5891
964	157806	5723
965	157848	5555
966	157871	5387
967	157944	5221
968	157997	5054
969	158041	4887
970	158082	4721
971	158106	4554
972	158150	4388
973	158205	4223
974	158241	4057
975	158268	3891
976	158325	3727
977	158386	3562
978	158421	3398
